model,device,data_size,train_time_sec,accuracy,auc,speedup
XGBoost CPU,CPU,24000,8.42,0.8918,0.9115,1.0
XGBoost GPU,GPU (CUDA),24000,1.99,0.8913,0.9121,4.23
